date_end,o3,no,no2,so2,pm10
2013-01-01 01:00:00,67.85,1.25,1.91,NA,16
2013-01-01 02:00:00,63.86,1.25,1.91,0,15
2013-01-01 03:00:00,61.87,1.25,1.91,0,15
2013-01-01 04:00:00,69.85,1.25,1.91,0,9
2013-01-01 05:00:00,73.84,1.25,1.91,0,3
2013-01-01 06:00:00,65.86,1.25,3.83,0,5
2013-01-01 07:00:00,65.86,1.25,3.83,0,5
2013-01-01 08:00:00,63.86,1.25,7.65,0,5
2013-01-01 09:00:00,63.86,1.25,5.74,0,7
2013-01-01 10:00:00,67.85,1.25,5.74,0,8
2013-01-01 11:00:00,71.85,1.25,3.83,0,6
2013-01-01 12:00:00,73.84,1.25,1.91,0,10
2013-01-01 13:00:00,73.84,1.25,5.74,2.66,10
2013-01-01 14:00:00,69.85,1.25,7.65,0,8
2013-01-01 15:00:00,67.85,1.25,9.56,0,8
2013-01-01 16:00:00,65.86,1.25,9.56,0,7
2013-01-01 17:00:00,61.87,0,11.48,2.66,9
2013-01-01 18:00:00,55.88,1.25,15.3,2.66,8
2013-01-01 19:00:00,49.89,1.25,17.21,2.66,11
2013-01-01 20:00:00,57.88,1.25,11.48,2.66,11
2013-01-01 21:00:00,59.87,1.25,11.48,2.66,10
2013-01-01 22:00:00,59.87,1.25,7.65,2.66,13
2013-01-01 23:00:00,55.88,1.25,7.65,2.66,13
2013-01-01 00:00:00,55.88,1.25,7.65,0,10
2013-01-02 01:00:00,57.88,1.25,5.74,0,10
2013-01-02 02:00:00,61.87,1.25,1.91,0,11
2013-01-02 03:00:00,59.87,1.25,1.91,0,10
2013-01-02 04:00:00,53.88,1.25,5.74,0,10
2013-01-02 05:00:00,51.89,1.25,5.74,0,8
2013-01-02 06:00:00,51.89,0,3.83,0,9
2013-01-02 07:00:00,47.9,1.25,7.65,0,9
2013-01-02 08:00:00,35.92,2.49,15.3,0,9
2013-01-02 09:00:00,21.95,3.74,26.78,2.66,8
2013-01-02 10:00:00,19.96,4.99,26.78,2.66,14
2013-01-02 11:00:00,17.96,7.48,32.51,5.32,12
2013-01-02 12:00:00,13.97,9.98,38.25,2.66,16
2013-01-02 13:00:00,13.97,9.98,40.16,5.32,18
2013-01-02 14:00:00,25.94,3.74,26.78,5.32,20
2013-01-02 15:00:00,31.93,2.49,26.78,5.32,19
2013-01-02 16:00:00,35.92,1.25,30.6,5.32,6
2013-01-02 17:00:00,49.89,1.25,19.13,5.32,6
2013-01-02 18:00:00,55.88,1.25,17.21,5.32,6
2013-01-02 19:00:00,51.89,1.25,19.13,5.32,5
2013-01-02 20:00:00,49.89,1.25,11.48,5.32,7
2013-01-02 21:00:00,47.9,1.25,13.39,5.32,10
2013-01-02 22:00:00,43.91,1.25,15.3,5.32,9
2013-01-02 23:00:00,41.91,1.25,15.3,5.32,11
2013-01-02 00:00:00,45.9,1.25,9.56,2.66,9
2013-01-03 01:00:00,43.91,1.25,11.48,2.66,11
2013-01-03 02:00:00,45.9,1.25,11.48,0,14
2013-01-03 03:00:00,45.9,1.25,11.48,2.66,14
2013-01-03 04:00:00,47.9,1.25,9.56,2.66,13
2013-01-03 05:00:00,45.9,1.25,9.56,2.66,17
2013-01-03 06:00:00,43.91,1.25,7.65,2.66,10
2013-01-03 07:00:00,47.9,1.25,9.56,2.66,5
2013-01-03 08:00:00,47.9,1.25,9.56,2.66,4
2013-01-03 09:00:00,43.91,1.25,15.3,2.66,5
2013-01-03 10:00:00,39.91,1.25,17.21,5.32,5
2013-01-03 11:00:00,41.91,2.49,15.3,10.64,11
2013-01-03 12:00:00,39.91,2.49,17.21,7.98,16
2013-01-03 13:00:00,39.91,2.49,15.3,NA,20
2013-01-03 14:00:00,37.92,2.49,15.3,NA,18
2013-01-03 15:00:00,27.94,3.74,22.95,NA,18
2013-01-03 16:00:00,29.94,1.25,22.95,NA,17
2013-01-03 17:00:00,19.96,1.25,32.51,NA,20
2013-01-03 18:00:00,23.95,1.25,34.43,NA,24
2013-01-03 19:00:00,19.96,2.49,34.43,NA,21
2013-01-03 20:00:00,25.94,1.25,24.86,NA,20
2013-01-03 21:00:00,25.94,1.25,22.95,NA,25
2013-01-03 22:00:00,37.92,1.25,17.21,NA,21
2013-01-03 23:00:00,41.91,1.25,13.39,NA,18
2013-01-03 00:00:00,45.9,1.25,7.65,NA,17
2013-01-04 01:00:00,49.89,2.49,7.65,NA,12
2013-01-04 02:00:00,49.89,1.25,7.65,NA,11
2013-01-04 03:00:00,57.88,2.49,5.74,NA,7
2013-01-04 04:00:00,61.87,2.49,5.74,NA,6
2013-01-04 05:00:00,63.86,2.49,5.74,NA,6
2013-01-04 06:00:00,61.87,1.25,9.56,NA,9
2013-01-04 07:00:00,61.87,1.25,9.56,NA,11
2013-01-04 08:00:00,59.87,2.49,9.56,NA,11
2013-01-04 09:00:00,59.87,2.49,11.48,NA,11
2013-01-04 10:00:00,63.86,2.49,11.48,NA,12
2013-01-04 11:00:00,63.86,3.74,15.3,NA,10
2013-01-04 12:00:00,59.87,3.74,17.21,NA,12
2013-01-04 13:00:00,59.87,3.74,19.13,NA,13
2013-01-04 14:00:00,59.87,4.99,15.3,NA,13
2013-01-04 15:00:00,55.88,3.74,17.21,NA,12
2013-01-04 16:00:00,51.89,2.49,21.04,NA,12
2013-01-04 17:00:00,45.9,3.74,22.95,NA,12
2013-01-04 18:00:00,43.91,2.49,24.86,NA,11
2013-01-04 19:00:00,35.92,2.49,30.6,NA,15
2013-01-04 20:00:00,21.95,2.49,38.25,NA,16
2013-01-04 21:00:00,31.93,3.74,26.78,NA,18
2013-01-04 22:00:00,35.92,2.49,21.04,NA,13
2013-01-04 23:00:00,33.93,3.74,19.13,NA,15
2013-01-04 00:00:00,35.92,2.49,17.21,NA,14
2013-01-05 01:00:00,35.92,1.25,11.48,NA,13
2013-01-05 02:00:00,33.93,1.25,15.3,NA,16
2013-01-05 03:00:00,39.91,1.25,9.56,NA,10
2013-01-05 04:00:00,43.91,1.25,7.65,NA,10
2013-01-05 05:00:00,45.9,1.25,3.83,NA,7
2013-01-05 06:00:00,45.9,1.25,1.91,NA,5
2013-01-05 07:00:00,41.91,1.25,7.65,NA,8
2013-01-05 08:00:00,35.92,1.25,11.48,NA,7
2013-01-05 09:00:00,21.95,2.49,22.95,NA,6
2013-01-05 10:00:00,21.95,2.49,21.04,NA,3
2013-01-05 11:00:00,35.92,2.49,17.21,NA,1
2013-01-05 12:00:00,39.91,2.49,11.48,NA,3
2013-01-05 13:00:00,45.9,2.49,11.48,NA,7
2013-01-05 14:00:00,45.9,1.25,11.48,NA,6
2013-01-05 15:00:00,47.9,1.25,7.65,NA,6
2013-01-05 16:00:00,49.89,1.25,7.65,NA,8
2013-01-05 17:00:00,45.9,1.25,11.48,NA,9
2013-01-05 18:00:00,49.89,1.25,9.56,NA,11
2013-01-05 19:00:00,35.92,1.25,19.13,NA,15
2013-01-05 20:00:00,35.92,1.25,19.13,NA,12
2013-01-05 21:00:00,45.9,1.25,9.56,NA,10
2013-01-05 22:00:00,41.91,1.25,13.39,NA,13
2013-01-05 23:00:00,41.91,1.25,11.48,NA,9
2013-01-05 00:00:00,39.91,1.25,11.48,NA,9
2013-01-06 01:00:00,45.9,2.49,7.65,NA,12
2013-01-06 02:00:00,47.9,1.25,7.65,NA,10
2013-01-06 03:00:00,49.89,2.49,5.74,NA,9
2013-01-06 04:00:00,43.91,2.49,7.65,NA,11
2013-01-06 05:00:00,43.91,2.49,9.56,NA,17
2013-01-06 06:00:00,41.91,2.49,15.3,NA,16
2013-01-06 07:00:00,41.91,2.49,11.48,NA,12
2013-01-06 08:00:00,29.94,2.49,13.39,NA,6
2013-01-06 09:00:00,25.94,3.74,17.21,NA,0
2013-01-06 10:00:00,23.95,6.24,17.21,NA,0
2013-01-06 11:00:00,21.95,7.48,24.86,NA,0
2013-01-06 12:00:00,21.95,7.48,24.86,NA,4
2013-01-06 13:00:00,21.95,7.48,26.78,NA,5
2013-01-06 14:00:00,27.94,4.99,17.21,NA,5
2013-01-06 15:00:00,31.93,4.99,17.21,NA,7
2013-01-06 16:00:00,37.92,2.49,15.3,NA,6
2013-01-06 17:00:00,41.91,2.49,17.21,NA,11
2013-01-06 18:00:00,47.9,2.49,15.3,NA,12
2013-01-06 19:00:00,37.92,2.49,19.13,NA,13
2013-01-06 20:00:00,35.92,1.25,19.13,NA,27
2013-01-06 21:00:00,27.94,2.49,19.13,NA,25
2013-01-06 22:00:00,37.92,2.49,13.39,NA,18
2013-01-06 23:00:00,47.9,2.49,5.74,NA,11
2013-01-06 00:00:00,51.89,2.49,3.83,NA,12
2013-01-07 01:00:00,49.89,2.49,1.91,NA,11
2013-01-07 02:00:00,51.89,2.49,0,NA,11
2013-01-07 03:00:00,45.9,2.49,1.91,NA,13
2013-01-07 04:00:00,41.91,2.49,3.83,NA,16
2013-01-07 05:00:00,39.91,2.49,5.74,NA,9
2013-01-07 06:00:00,33.93,2.49,7.65,NA,5
2013-01-07 07:00:00,29.94,2.49,9.56,NA,3
2013-01-07 08:00:00,17.96,4.99,19.13,NA,7
2013-01-07 09:00:00,17.96,4.99,22.95,NA,7
2013-01-07 10:00:00,23.95,3.74,19.13,NA,5
2013-01-07 11:00:00,21.95,4.99,13.39,NA,4
2013-01-07 12:00:00,23.95,4.99,11.48,NA,2
2013-01-07 13:00:00,19.96,4.99,11.48,NA,5
2013-01-07 14:00:00,17.96,4.99,13.39,NA,5
2013-01-07 15:00:00,19.96,3.74,13.39,NA,7
2013-01-07 16:00:00,15.97,4.99,19.13,NA,7
2013-01-07 17:00:00,13.97,3.74,21.04,NA,11
2013-01-07 18:00:00,11.97,4.99,21.04,NA,15
2013-01-07 19:00:00,11.97,4.99,21.04,NA,18
2013-01-07 20:00:00,15.97,2.49,19.13,NA,16
2013-01-07 21:00:00,19.96,2.49,15.3,NA,13
2013-01-07 22:00:00,21.95,2.49,13.39,NA,14
2013-01-07 23:00:00,25.94,2.49,9.56,NA,15
2013-01-07 00:00:00,27.94,2.49,7.65,NA,14
2013-01-08 01:00:00,31.93,1.25,7.65,NA,13
2013-01-08 02:00:00,39.91,1.25,5.74,NA,14
2013-01-08 03:00:00,43.91,1.25,3.83,NA,9
2013-01-08 04:00:00,41.91,1.25,5.74,NA,12
2013-01-08 05:00:00,45.9,1.25,3.83,NA,14
2013-01-08 06:00:00,43.91,1.25,7.65,NA,9
2013-01-08 07:00:00,39.91,1.25,15.3,NA,12
2013-01-08 08:00:00,27.94,2.49,28.69,NA,15
2013-01-08 09:00:00,31.93,2.49,24.86,NA,11
2013-01-08 10:00:00,37.92,4.99,17.21,NA,14
2013-01-08 11:00:00,41.91,3.74,15.3,NA,13
2013-01-08 12:00:00,51.89,2.49,7.65,NA,11
2013-01-08 13:00:00,51.89,2.49,9.56,NA,14
2013-01-08 14:00:00,49.89,2.49,7.65,NA,15
2013-01-08 15:00:00,45.9,1.25,9.56,NA,14
2013-01-08 16:00:00,43.91,1.25,13.39,NA,13
2013-01-08 17:00:00,35.92,1.25,22.95,NA,16
2013-01-08 18:00:00,35.92,0,24.86,NA,16
2013-01-08 19:00:00,37.92,1.25,21.04,NA,16
2013-01-08 20:00:00,39.91,1.25,15.3,NA,18
2013-01-08 21:00:00,37.92,1.25,9.56,NA,20
2013-01-08 22:00:00,35.92,1.25,9.56,NA,18
2013-01-08 23:00:00,31.93,1.25,9.56,NA,13
2013-01-08 00:00:00,27.94,1.25,9.56,NA,10
2013-01-09 01:00:00,29.94,1.25,7.65,NA,4
2013-01-09 02:00:00,29.94,1.25,7.65,NA,7
2013-01-09 03:00:00,33.93,1.25,5.74,NA,5
2013-01-09 04:00:00,33.93,1.25,5.74,NA,2
2013-01-09 05:00:00,27.94,1.25,9.56,NA,3
2013-01-09 06:00:00,21.95,1.25,13.39,NA,1
2013-01-09 07:00:00,13.97,1.25,21.04,NA,2
2013-01-09 08:00:00,11.97,2.49,21.04,NA,2
2013-01-09 09:00:00,9.98,3.74,30.6,NA,9
2013-01-09 10:00:00,39.91,2.49,15.3,NA,5
2013-01-09 11:00:00,55.88,2.49,7.65,NA,8
2013-01-09 12:00:00,51.89,1.25,9.56,NA,12
2013-01-09 13:00:00,43.91,2.49,15.3,NA,14
2013-01-09 14:00:00,35.92,2.49,19.13,NA,17
2013-01-09 15:00:00,37.92,2.49,17.21,NA,18
2013-01-09 16:00:00,29.94,2.49,21.04,NA,16
2013-01-09 17:00:00,11.97,2.49,40.16,NA,19
2013-01-09 18:00:00,7.98,2.49,47.81,NA,22
2013-01-09 19:00:00,5.99,2.49,49.73,NA,21
2013-01-09 20:00:00,3.99,2.49,53.55,NA,20
2013-01-09 21:00:00,7.98,1.25,47.81,NA,22
2013-01-09 22:00:00,15.97,1.25,40.16,NA,23
2013-01-09 23:00:00,19.96,1.25,36.34,NA,24
2013-01-09 00:00:00,23.95,1.25,24.86,NA,16
2013-01-10 01:00:00,19.96,2.49,38.25,NA,21
2013-01-10 02:00:00,27.94,1.25,30.6,NA,18
2013-01-10 03:00:00,33.93,1.25,22.95,NA,14
2013-01-10 04:00:00,33.93,1.25,26.78,NA,12
2013-01-10 05:00:00,15.97,1.25,43.99,NA,17
2013-01-10 06:00:00,7.98,13.72,57.38,NA,17
2013-01-10 07:00:00,3.99,21.2,63.11,NA,21
2013-01-10 08:00:00,3.99,43.66,63.11,NA,21
2013-01-10 09:00:00,3.99,49.89,61.2,NA,25
2013-01-10 10:00:00,5.99,44.9,57.38,NA,24
2013-01-10 11:00:00,15.97,23.7,45.9,NA,22
2013-01-10 12:00:00,7.98,47.4,53.55,NA,27
2013-01-10 13:00:00,3.99,61.12,59.29,NA,28
2013-01-10 14:00:00,5.99,61.12,66.94,NA,27
2013-01-10 15:00:00,5.99,61.12,68.85,NA,31
2013-01-10 16:00:00,3.99,54.88,68.85,NA,34
2013-01-10 17:00:00,3.99,59.87,70.76,NA,36
2013-01-10 18:00:00,2,62.37,72.68,NA,39
2013-01-10 19:00:00,2,46.15,66.94,NA,39
2013-01-10 20:00:00,2,28.69,66.94,NA,30
2013-01-10 21:00:00,2,22.45,65.03,NA,25
2013-01-10 22:00:00,3.99,7.48,61.2,NA,21
2013-01-10 23:00:00,3.99,14.97,61.2,NA,19
2013-01-10 00:00:00,2,11.23,57.38,NA,25
2013-01-11 01:00:00,0,11.23,55.46,NA,26
2013-01-11 02:00:00,0,14.97,55.46,NA,27
2013-01-11 03:00:00,2,16.21,53.55,NA,29
2013-01-11 04:00:00,2,2.49,45.9,NA,28
2013-01-11 05:00:00,3.99,1.25,43.99,NA,24
2013-01-11 06:00:00,7.98,2.49,40.16,NA,25
2013-01-11 07:00:00,2,4.99,49.73,NA,22
2013-01-11 08:00:00,2,12.47,53.55,NA,21
2013-01-11 09:00:00,2,24.95,49.73,NA,26
2013-01-11 10:00:00,5.99,26.19,49.73,NA,23
2013-01-11 11:00:00,15.97,16.21,43.99,NA,22
2013-01-11 12:00:00,19.96,13.72,40.16,NA,20
2013-01-11 13:00:00,23.95,9.98,36.34,NA,18
2013-01-11 14:00:00,29.94,8.73,32.51,NA,15
2013-01-11 15:00:00,27.94,4.99,34.43,NA,16
2013-01-11 16:00:00,31.93,2.49,32.51,NA,15
2013-01-11 17:00:00,19.96,1.25,38.25,NA,13
2013-01-11 18:00:00,3.99,3.74,53.55,NA,19
2013-01-11 19:00:00,2,33.68,61.2,NA,33
2013-01-11 20:00:00,15.97,2.49,34.43,NA,20
2013-01-11 21:00:00,23.95,1.25,21.04,NA,15
2013-01-11 22:00:00,27.94,1.25,19.13,NA,18
2013-01-11 23:00:00,35.92,1.25,15.3,NA,17
2013-01-11 00:00:00,21.95,1.25,34.43,NA,13
2013-01-12 01:00:00,7.98,2.49,47.81,NA,17
2013-01-12 02:00:00,29.94,1.25,21.04,NA,17
2013-01-12 03:00:00,45.9,1.25,13.39,NA,12
2013-01-12 04:00:00,33.93,1.25,19.13,NA,13
2013-01-12 05:00:00,37.92,0,19.13,NA,15
2013-01-12 06:00:00,43.91,1.25,17.21,NA,13
2013-01-12 07:00:00,51.89,1.25,15.3,NA,11
2013-01-12 08:00:00,61.87,0,11.48,NA,6
2013-01-12 09:00:00,53.88,1.25,17.21,NA,9
2013-01-12 10:00:00,53.88,1.25,19.13,NA,8
2013-01-12 11:00:00,57.88,1.25,17.21,NA,8
2013-01-12 12:00:00,53.88,2.49,15.3,NA,13
2013-01-12 13:00:00,45.9,2.49,21.04,NA,18
2013-01-12 14:00:00,31.93,2.49,24.86,NA,21
2013-01-12 15:00:00,21.95,3.74,28.69,NA,23
2013-01-12 16:00:00,29.94,1.25,24.86,NA,20
2013-01-12 17:00:00,33.93,1.25,21.04,NA,19
2013-01-12 18:00:00,31.93,1.25,21.04,NA,22
2013-01-12 19:00:00,27.94,1.25,21.04,NA,20
2013-01-12 20:00:00,27.94,1.25,21.04,NA,21
2013-01-12 21:00:00,25.94,1.25,19.13,NA,18
2013-01-12 22:00:00,25.94,1.25,17.21,NA,19
2013-01-12 23:00:00,21.95,0,19.13,NA,18
2013-01-12 00:00:00,17.96,1.25,21.04,NA,19
2013-01-13 01:00:00,17.96,1.25,19.13,NA,21
2013-01-13 02:00:00,17.96,1.25,17.21,NA,22
2013-01-13 03:00:00,19.96,1.25,17.21,NA,20
2013-01-13 04:00:00,27.94,0,15.3,NA,22
2013-01-13 05:00:00,27.94,1.25,13.39,NA,24
2013-01-13 06:00:00,31.93,1.25,15.3,NA,24
2013-01-13 07:00:00,39.91,1.25,11.48,NA,18
2013-01-13 08:00:00,53.88,1.25,5.74,NA,11
2013-01-13 09:00:00,51.89,1.25,7.65,NA,9
2013-01-13 10:00:00,45.9,1.25,9.56,NA,10
2013-01-13 11:00:00,41.91,1.25,11.48,NA,12
2013-01-13 12:00:00,39.91,2.49,11.48,NA,18
2013-01-13 13:00:00,45.9,1.25,11.48,NA,14
2013-01-13 14:00:00,47.9,1.25,5.74,NA,12
2013-01-13 15:00:00,45.9,1.25,7.65,NA,15
