date,date_end,site,o3,no2,nox,so2,pm10,pm2.5
2020-01-01 00:00:00,2020-01-01 01:00:00,gb0048r,55.28089,NA,NA,NA,7.025,6.109
2020-01-01 01:00:00,2020-01-01 02:00:00,gb0048r,50.62426,NA,NA,NA,7.075,6.156
2020-01-01 02:00:00,2020-01-01 03:00:00,gb0048r,50.44132,NA,NA,NA,10.05,8.726
2020-01-01 03:00:00,2020-01-01 04:00:00,gb0048r,50.19186,NA,NA,NA,10.875,9.693
2020-01-01 04:00:00,2020-01-01 05:00:00,gb0048r,48.39573,NA,NA,NA,11.675,10.542
2020-01-01 05:00:00,2020-01-01 06:00:00,gb0048r,46.20046,NA,NA,NA,10.65,9.623
2020-01-01 06:00:00,2020-01-01 07:00:00,gb0048r,44.35443,NA,NA,NA,9.1,8.113
2020-01-01 07:00:00,2020-01-01 08:00:00,gb0048r,49.19401,NA,NA,NA,10.075,8.75
2020-01-01 08:00:00,2020-01-01 09:00:00,gb0048r,49.44347,NA,NA,NA,10.975,9.693
2020-01-01 09:00:00,2020-01-01 10:00:00,gb0048r,49.8925,NA,NA,NA,10.575,9.292
2020-01-01 10:00:00,2020-01-01 11:00:00,gb0048r,47.49766,NA,NA,NA,10.95,9.599
2020-01-01 11:00:00,2020-01-01 12:00:00,gb0048r,48.19616,NA,NA,NA,11.4,10.071
2020-01-01 12:00:00,2020-01-01 13:00:00,gb0048r,46.15056,NA,NA,NA,12.8,11.226
2020-01-01 13:00:00,2020-01-01 14:00:00,gb0048r,43.65594,NA,NA,NA,15.45,13.585
2020-01-01 14:00:00,2020-01-01 15:00:00,gb0048r,39.46497,NA,NA,NA,17.1,15.212
2020-01-01 15:00:00,2020-01-01 16:00:00,gb0048r,43.40648,NA,NA,NA,17.45,15.731
2020-01-01 16:00:00,2020-01-01 17:00:00,gb0048r,44.05508,NA,NA,NA,18.25,15.92
2020-01-01 17:00:00,2020-01-01 18:00:00,gb0048r,42.10927,NA,NA,NA,18.95,16.557
2020-01-01 18:00:00,2020-01-01 19:00:00,gb0048r,46.10067,NA,NA,NA,18.025,15.731
2020-01-01 19:00:00,2020-01-01 20:00:00,gb0048r,49.34368,NA,NA,NA,17.075,14.717
2020-01-01 20:00:00,2020-01-01 21:00:00,gb0048r,48.39573,NA,NA,NA,17.975,15.33
2020-01-01 21:00:00,2020-01-01 22:00:00,gb0048r,44.90325,NA,NA,NA,19.95,16.887
2020-01-01 22:00:00,2020-01-01 23:00:00,gb0048r,44.85336,NA,NA,NA,18.3,15.684
2020-01-01 23:00:00,2020-01-02 00:00:00,gb0048r,44.80347,NA,NA,NA,18.35,15.708
2020-01-02 00:00:00,2020-01-02 01:00:00,gb0048r,52.68648,NA,NA,NA,13.3,10.92
2020-01-02 01:00:00,2020-01-02 02:00:00,gb0048r,56.14569,NA,NA,NA,11.6,8.892
2020-01-02 02:00:00,2020-01-02 03:00:00,gb0048r,56.37853,NA,NA,NA,9.825,7.406
2020-01-02 03:00:00,2020-01-02 04:00:00,gb0048r,56.27874,NA,NA,NA,10.35,7.618
2020-01-02 04:00:00,2020-01-02 05:00:00,gb0048r,60.81896,NA,NA,NA,9.8,6.651
2020-01-02 05:00:00,2020-01-02 06:00:00,gb0048r,62.5153,NA,NA,NA,10.425,6.462
2020-01-02 06:00:00,2020-01-02 07:00:00,gb0048r,64.76047,NA,NA,NA,9.325,5.991
2020-01-02 07:00:00,2020-01-02 08:00:00,gb0048r,69.2009,NA,NA,NA,9.475,5.825
2020-01-02 08:00:00,2020-01-02 09:00:00,gb0048r,70.548,NA,NA,NA,7.75,4.41
2020-01-02 09:00:00,2020-01-02 10:00:00,gb0048r,72.24434,NA,NA,NA,4.8,2.594
